Film,Year,Rating,Number_Ratings,Length_Minutes,
Terminator Salvation,2009,6.7,212305,115,
Up in the Air,2009,7.5,209146,108,
2012,2009,5.7,203605,158,
Moon,2009,8,177968,97,
The Twilight Saga: New Moon,2009,4.5,175427,130,
Public Enemies,2009,7,174576,140,
Law Abiding Citizen,2009,7.3,159986,109,
Angels & Demons,2009,6.6,150006,138,
The Proposal,2009,6.7,147938,108,
Knowing,2009,6.2,147797,121,
The Blind Side,2009,7.7,144648,129,
G.I. Joe: The Rise of Cobra,2009,5.7,136498,118,
Inception,2010,8.8,885908,148,
Shutter Island,2010,8,462244,138,
Black Swan,2010,8,391362,108,
Toy Story 3,2010,8.4,336811,103,
The Social Network,2010,7.8,321944,120,
Iron Man 2,2010,7,319653,124,
Kick-Ass,2010,7.8,312869,117,
The King's Speech,2010,8.1,305403,118,
How to Train Your Dragon,2010,8.2,266433,98,
Despicable Me,2010,7.6,223521,95,
Harry Potter and the Deathly Hallows: Part 1,2010,7.6,223418,146,
Alice in Wonderland,2010,6.5,219366,108,
The Town,2010,7.6,212194,125,
Due Date,2010,6.5,206029,95,
TRON: Legacy,2010,6.8,201769,125,
127 Hours,2010,7.7,200227,94,
Scott Pilgrim vs. the World,2010,7.5,192687,112,
The Fighter,2010,7.9,188867,116,
The Expendables,2010,6.5,188232,103,
Salt,2010,6.4,182183,100,
True Grit,2010,7.7,179194,110,
Clash of the Titans,2010,5.8,176115,106,
Red,2010,7,174280,111,
Easy A,2010,7.1,172943,92,
The Book of Eli,2010,6.8,163372,118,
X-Men: First Class,2011,7.8,324474,132,
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,323820,130,
Thor,2011,7,322536,115,
Drive,2011,7.9,319621,100,
Limitless,2011,7.3,267657,105,
Captain America: The First Avenger,2011,6.8,263180,124,
Rise of the Planet of the Apes,2011,7.6,259302,105,
The Hangover Part II,2011,6.5,259046,102,
Crazy Stupid Love.,2011,7.4,256450,118,
Source Code,2011,7.5,256289,93,
Mission: Impossible - Ghost Protocol,2011,7.3,252998,133,
Intouchables,2011,8.6,252359,112,
Pirates of the Caribbean: On Stranger Tides,2011,6.6,245388,136,
Horrible Bosses,2011,6.9,243420,98,
The Girl with the Dragon Tattoo,2011,7.9,232472,158,
Transformers: Dark of the Moon,2011,6.3,229852,154,
Sherlock Holmes: A Game of Shadows,2011,7.5,228706,129,
Super 8,2011,7.1,213427,112,
Midnight in Paris,2011,7.7,206137,94,
Warrior,2011,8.2,204562,140,
Moneyball,2011,7.6,204198,133,
The Help,2011,8.1,200032,146,
In Time,2011,6.6,199083,109,
Fast Five,2011,7.3,195766,130,
50/50,2011,7.8,194025,100,
The Dark Knight Rises,2012,8.6,714999,165,
The Avengers,2012,8.2,602703,143,
Django Unchained,2012,8.5,506386,165,
The Hunger Games,2012,7.2,439994,142,
The Hobbit: An Unexpected Journey,2012,8,404279,169,
Skyfall,2012,7.8,359846,143,
Prometheus,2012,7.1,325917,124,
Silver Linings Playbook,2012,7.9,310784,122,
Ted,2012,7.1,305389,106,
Looper,2012,7.5,286677,119,
Argo,2012,7.8,282065,120,
The Amazing Spider-Man,2012,7.1,281865,132,
Life of Pi,2012,8.1,276118,127,
21 Jump Street,2012,7.2,228143,109,
The Perks of Being a Wallflower,2012,8.1,198679,102,
Cloud Atlas,2012,7.6,194334,172,
The Cabin in the Woods,2012,7.1,185581,95,
Men in Black 3,2012,6.9,182422,106,
Flight,2012,7.3,172867,138,
The Expendables 2,2012,6.8,169013,103,
Les Miserables,2012,7.7,166740,158,
Snow White and the Huntsman,2012,6.2,165206,127,
John Carter,2012,6.6,158897,132,
The Bourne Legacy,2012,6.7,157243,135,
Brave,2012,7.2,154727,93,
Man of Steel,2013,7.4,320837,143,
Iron Man Three,2013,7.4,315255,130,
World War Z,2013,7.1,245718,116,
Star Trek Into Darkness,2013,7.9,240335,132,
Now You See Me,2013,7.3,232617,115,
Oblivion,2013,7,214090,124,
Gravity,2013,8.4,207872,91,
Pacific Rim,2013,7.1,200730,131,
The Great Gatsby,2013,7.3,183791,143,
Furious 6,2013,7.2,175498,130,
This Is the End,2013,6.9,155923,107,
The Wolverine,2013,6.8,154769,126,
Elysium,2013,6.7,151386,109,
The Hunger Games: Catching Fire,2013,8.1,147807,146,
The Conjuring,2013,7.6,140576,112,
The Hobbit: The Desolation of Smaug,2013,8.2,139413,161,
Despicable Me 2,2013,7.6,133319,98,
We're the Millers,2013,7.1,128016,110,
Oz the Great and Powerful,2013,6.4,126212,130,
Olympus Has Fallen,2013,6.5,119820,119,
Gangster Squad,2013,6.8,119302,113,
Prisoners,2013,8.1,117443,153,
Warm Bodies,2013,7,116191,98,119
The Hangover Part III,2013,5.9,114041,100,131
A Good Day to Die Hard,2013,5.3,113431,98,
